element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
164  3.1759 1.3576 -0.14349 3.2956 1.3687 -0.073339 3.3331 1.2286 -0.097113 3.2178 1.2011 -0.17003 0.00048458 0.0000
165  3.2178 1.2011 -0.17003 3.3331 1.2286 -0.097113 3.3318 1.0984 -0.028657 3.2163 1.0558 -0.093617 0.00048458 0.0000
166  3.2163 1.0558 -0.093617 3.3318 1.0984 -0.028657 3.2922 1.0392 0.10000 3.1721 0.98966 0.050000 0.00048458 0.0000
167  3.2133 1.2923 0.17050 3.3434 1.3114 0.21071 3.3901 1.3207 0.089289 3.2676 1.3031 0.029497 0.0038489 0.0000
168  3.2922 1.0392 0.10000 3.4123 1.0887 0.15000 3.3347 1.1701 0.30318 3.2044 1.1313 0.27334 0.00064700 0.0000
169  3.2044 1.1313 0.27334 3.3347 1.1701 0.30318 3.2975 1.3564 0.30318 3.1622 1.3421 0.27334 0.00064700 0.0000
170  3.1622 1.3421 0.27334 3.2975 1.3564 0.30318 3.3377 1.4613 0.15000 3.2078 1.4608 0.10000 0.00064700 0.0000
171  3.2078 1.4608 0.10000 3.3377 1.4613 0.15000 3.4153 1.3799 -0.0031829 3.2956 1.3687 -0.073339 0.00064700 0.0000
172  3.2956 1.3687 -0.073339 3.4153 1.3799 -0.0031829 3.4525 1.1936 -0.0031829 3.3378 1.1579 -0.073339 0.00064700 0.0000
173  3.3378 1.1579 -0.073339 3.4525 1.1936 -0.0031829 3.4123 1.0887 0.15000 3.2922 1.0392 0.10000 0.00064700 0.0000
174  3.3434 1.3114 0.21071 3.4735 1.3305 0.25092 3.5127 1.3384 0.14908 3.3901 1.3207 0.089289 0.0027877 0.0000
175  3.4123 1.0887 0.15000 3.5324 1.1382 0.20000 3.4538 1.2388 0.34609 3.3218 1.2045 0.31822 0.00068055 0.0000
176  3.3218 1.2045 0.31822 3.4538 1.2388 0.34609 3.4391 1.4240 0.29029 3.3049 1.4177 0.25397 0.00068055 0.0000
177  3.3049 1.4177 0.25397 3.4391 1.4240 0.29029 3.5085 1.4378 0.10971 3.3848 1.4337 0.046032 0.00068055 0.0000
178  3.3848 1.4337 0.046032 3.5085 1.4378 0.10971 3.5662 1.2612 0.053911 3.4512 1.2304 -0.018223 0.00068055 0.0000
179  3.4512 1.2304 -0.018223 3.5662 1.2612 0.053911 3.5324 1.1382 0.20000 3.4123 1.0887 0.15000 0.00068055 0.0000
