time Vol_0_default_submembrane_pointA_Spc_a Vol_1_default_submembrane_Spc_a Vol_2_region1_submembrane_Spc_a Vol_3_region1_submembrane_Spc_a Vol_0_default_submembrane_pointA_Spc_b Vol_1_default_submembrane_Spc_b Vol_2_region1_submembrane_Spc_b Vol_3_region1_submembrane_Spc_b Vol_0_default_submembrane_pointA_Spc_c Vol_1_default_submembrane_Spc_c Vol_2_region1_submembrane_Spc_c Vol_3_region1_submembrane_Spc_c Vol_0_default_submembrane_pointA_Spc_d Vol_1_default_submembrane_Spc_d Vol_2_region1_submembrane_Spc_d Vol_3_region1_submembrane_Spc_d
13.100 154 00 00 00 14 60 75 76 46 00 00 00 46 37 59 58 
13.150 154 00 00 00 14 60 75 76 46 00 00 00 44 36 60 60 
13.200 154 00 00 00 14 60 75 76 46 00 00 00 41 39 61 59 
13.250 154 00 00 00 14 60 75 76 46 00 00 00 44 36 59 61 
13.300 153 00 00 00 13 60 75 76 47 00 00 00 46 34 60 60 
13.350 153 00 00 00 13 60 75 76 47 00 00 00 47 37 55 61 
13.400 153 00 00 00 13 60 75 76 47 00 00 00 41 44 54 61 
13.450 153 00 00 00 13 60 75 76 47 00 00 00 39 44 58 59 
13.500 153 00 00 00 13 60 75 76 47 00 00 00 40 42 60 58 
13.550 153 00 00 00 13 60 75 76 47 00 00 00 36 44 61 59 
13.600 152 00 00 00 12 60 75 76 48 00 00 00 34 45 58 63 
13.650 152 00 00 00 12 60 75 76 48 00 00 00 36 42 61 61 
13.700 152 00 00 00 12 60 75 76 48 00 00 00 39 38 61 62 
13.750 152 00 00 00 12 60 75 76 48 00 00 00 37 41 59 63 
13.800 152 00 00 00 12 60 75 76 48 00 00 00 36 42 64 58 
13.850 152 00 00 00 12 60 75 76 48 00 00 00 36 44 59 61 
13.900 152 00 00 00 12 60 75 76 48 00 00 00 35 44 54 67 
13.950 152 00 00 00 12 60 75 76 48 00 00 00 36 45 53 66 
14.000 152 00 00 00 12 60 75 76 48 00 00 00 38 42 56 64 
14.050 152 00 00 00 12 60 75 76 48 00 00 00 42 38 58 62 
14.100 152 00 00 00 12 60 75 76 48 00 00 00 41 40 56 63 
14.150 152 00 00 00 12 60 75 76 48 00 00 00 39 40 61 60 
14.200 152 00 00 00 12 60 75 76 48 00 00 00 41 39 63 57 
14.250 152 00 00 00 12 60 75 76 48 00 00 00 41 41 60 58 
14.300 151 00 00 00 11 60 75 76 49 00 00 00 44 37 59 60 
14.350 151 00 00 00 11 60 75 76 49 00 00 00 43 37 58 62 
14.400 151 00 00 00 11 60 75 76 49 00 00 00 44 38 56 62 
14.450 151 00 00 00 11 60 75 76 49 00 00 00 42 41 55 62 
14.500 151 00 00 00 11 60 75 76 49 00 00 00 39 41 57 63 
14.550 151 00 00 00 11 60 75 76 49 00 00 00 37 41 54 68 
14.600 151 00 00 00 11 60 75 76 49 00 00 00 32 47 53 68 
14.650 151 00 00 00 11 60 75 76 49 00 00 00 34 44 53 69 
14.700 151 00 00 00 11 60 75 76 49 00 00 00 36 43 46 75 
14.750 150 00 00 00 10 60 75 76 50 00 00 00 39 41 46 74 
14.800 150 00 00 00 10 60 75 76 50 00 00 00 40 41 47 72 
14.850 150 00 00 00 10 60 75 76 50 00 00 00 42 39 48 71 
14.900 150 00 00 00 10 60 75 76 50 00 00 00 42 39 50 69 
14.950 150 00 00 00 10 60 75 76 50 00 00 00 36 45 52 67 
15.000 149 00 00 00 9 60 75 76 51 00 00 00 35 45 56 64 
15.050 149 00 00 00 9 60 75 76 51 00 00 00 32 50 56 62 
15.100 148 00 00 00 8 60 75 76 52 00 00 00 34 52 57 57 
15.150 148 00 00 00 8 60 75 76 52 00 00 00 35 47 59 59 
15.200 147 00 00 00 7 60 75 76 53 00 00 00 35 46 58 61 
15.250 147 00 00 00 7 60 75 76 53 00 00 00 37 41 62 60 
15.300 147 00 00 00 7 60 75 76 53 00 00 00 37 41 61 61 
15.350 146 00 00 00 6 60 75 76 54 00 00 00 40 38 62 60 
15.400 146 00 00 00 6 60 75 76 54 00 00 00 41 40 56 63 
15.450 146 00 00 00 6 60 75 76 54 00 00 00 43 38 57 62 
15.500 146 00 00 00 6 60 75 76 54 00 00 00 38 42 57 63 
15.550 146 00 00 00 6 60 75 76 54 00 00 00 43 37 57 63 
15.600 146 00 00 00 6 60 75 76 54 00 00 00 45 37 56 62 
15.650 146 00 00 00 6 60 75 76 54 00 00 00 43 39 52 66 
15.700 146 00 00 00 6 60 75 76 54 00 00 00 42 34 57 67 
15.750 146 00 00 00 6 60 75 76 54 00 00 00 40 38 53 69 
15.800 146 00 00 00 6 60 75 76 54 00 00 00 40 36 57 67 
15.850 145 00 00 00 5 60 75 76 55 00 00 00 37 40 57 66 
15.900 145 00 00 00 5 60 75 76 55 00 00 00 39 40 57 64 
15.950 145 00 00 00 5 60 75 76 55 00 00 00 40 36 64 60 
16.000 145 00 00 00 5 60 75 76 55 00 00 00 40 38 59 63 
16.050 145 00 00 00 5 60 75 76 55 00 00 00 41 39 58 62 
